Issuer_place;Issuer_Latitude;Issuer_Longitude;Vorkommen
Schlackenwerth;50,305935;12,9390833;1
Schladming;47,3939887;13,6861309;1
Schleid (Rhön);50,6958137;9,9536588;1
Schlettstadt;48,259386;7,454241;1
Schloss Schwarzenberg (Scheinfeld);49,6716169;10,4727689;1
Schloss Waldenfels;48,539444;14,388889;1
Schloß Wehrheim;50,3453184;8,5905952;1
Schloss Zeil;47,8660583;9,994091;1
Schlüsselfeld;49,7575133;10,6228929;1
Schmiechen;48,214072;10,9664339;1
Schönberg (Kienberg);48,04562142;12,50338264;1
Schönberg (Kronberg);50,183333;8,516389;1
Schongau;47,8150246;10,8942968;1
Schramberg;48,228146;8,3844681;1
Schrobenhausen;48,5626401;11,2630624;1
Schwabach;49,3288905;11,0244827;1
Schwäbisch-Gmünd;48,7994019;9,8045704;1
Schwanenstadt;48,0550553;13,7747523;1
Schweinberg;49,6198919;9,518722;1
Schwelm;51,2882674;7,291086;1
Schwobfeld;51,2873545;10,0926746;1
Seinsheim;49,64065;10,2215792;1
Seligenstadt;50,0437013;8,9711343;3
Siegen;50,8838492;8,0209591;1
Sindlingen;50,080234;8,5094264;2
Solothurn;47,20808;7,53858;2
Spalt;49,1750626;10,9251325;1
Speyer;49,3172765;8,4412172;3
Sponsheim;49,9220896;7,9180534;1
St. Alban (Bodenheim);49,9292948;8,312674;2
St. Avold;49,104408;6,705793;1
St. Johann (Saar);49,2368225;7,0124211;2
St. Marienthal;50,997971;14,924648;1
St. Michael i. Obersteiermark;47,336529;15,018174;1
St. Stephan (Bamberg);49,8972487;10,8911132;1
St. Wendel;49,4677707;7,1690625;1
Stadecken;49,911944;8,125278;1
Stadtamhof;49,0255971;12,0935089;1
Staffelstein;50,1039212;10,9929181;2
Stamsried;49,2691789;12,5306537;1
Starhemberg;48,1859535;13,64063309;1
Starnberg;47,9999615;11,339009;1
Steinach;48,3029087;8,0568954;1
Stetten a. d. Wern;50,092805;9,6473986;1
Stift Haug;49,797911;9,935906;1
Stockum;51,2599285;6,7545086;1
Straßburg;48,5734053;7,7521113;1
Strümpfelbrunn;49,463671;9,0788879;1
Sulzheim;;;2
Sundern;51,3254213;8,0035148;1
Tallinn;59,4369608;24,7535747;1
Tauberbischofsheim;49,6293817;9,6592956;5
Tecklenburg;52,2203039;7,8123633;1
Teunz;49,4805087;12,3835015;1
Teuschnitz;50,3982032;11,383151;2
Thann;47,806667;7,104444;1
Thulba (Oberthulba);50,1907704;9,9361082;1
Thüngersheim;49,8801964;9,8443188;1
Tirano;46,216389;10,168889;1
Tirschenreuth;49,8817161;12,3303441;1
Trier;49,749992;6,6371433;4
Tulln a. d. Donau;48,3314949;16,060737;1
Türkheim;48,0616217;10,6427595;2
Ulm;48,400833;9,987222;1
unknown;;;2
Untereisenheim;49,8840507;10,157952;1
Urbar (b. Koblenz);50,380687;7,6258037;1
Usingen;50,3353122;8,5320064;1
Utrecht;52,0907374;5,1214201;1
Vaduz;47,1410303;9,5209277;1
Valenciennes;50,357113;3,518332;1
Vallendar;50,397136;7,622022;2
Veitshöchheim;49,8312701;9,8803666;1
Veldenz;49,8895257;7,0234615;1
Verviers;50,5910564;5,8655951;1
Vianden;49,9339748;6,2076994;1
Viechtach;49,0794562;12,8831956;2
Viernheim;49,5412437;8,5784877;1
Villach;46,60856;13,85062;1
Villmar;50,391389;8,191944;1
